id;text;max_puntaje;;;;;;;;;
1;¿Cómo se dice Surgir, Levantarse?;1;;;;;;;;;
2;¿Cómo se dice Despertarse?;1;;;;;;;;;
3;¿Cómo se dice Ser / Estar?;1;;;;;;;;;
4;¿Cómo se dice Soportar, dar a luz?;1;;;;;;;;;
5;¿Cómo se dice Golpear?;1;;;;;;;;;
6;¿Cómo se dice Llegar a Ser?;1;;;;;;;;;
7;¿Cómo se dice Empezar?;1;;;;;;;;;
8;¿Cómo se dice Doblar?;1;;;;;;;;;
9;¿Cómo se dice Apostar?;1;;;;;;;;;
10;¿Cómo se dice Atar, encuadernar?;1;;;;;;;;;
11;¿Cómo se dice Pujar?;1;;;;;;;;;
12;¿Cómo se dice Morder?;1;;;;;;;;;
13;¿Cómo se dice Sangrar?;1;;;;;;;;;
14;¿Cómo se dice Soplar?;1;;;;;;;;;
15;¿Cómo se dice Romper?;1;;;;;;;;;
16;¿Cómo se dice Criar?;1;;;;;;;;;
17;¿Cómo se dice Traer Llevar?;1;;;;;;;;;
18;¿Cómo se dice Radiar?;1;;;;;;;;;
19;¿Cómo se dice Edificar?;1;;;;;;;;;
20;¿Cómo se dice Quemar?;1;;;;;;;;;
21;¿Cómo se dice Reventar?;1;;;;;;;;;
22;¿Cómo se dice Comprar?;1;;;;;;;;;
23;¿Cómo se dice Arrojar?;1;;;;;;;;;
24;¿Cómo se dice Coger?;1;;;;;;;;;
25;¿Cómo se dice Venir?;1;;;;;;;;;
26;¿Cómo se dice Costar?;1;;;;;;;;;
27;¿Cómo se dice Cortar?;1;;;;;;;;;
28;¿Cómo se dice Elegir?;1;;;;;;;;;
29;¿Cómo se dice Agarrarse?;1;;;;;;;;;
30;¿Cómo se dice Arrastrarse?;1;;;;;;;;;
31;¿Cómo se dice Tratar?;1;;;;;;;;;
32;¿Cómo se dice Cavar?;1;;;;;;;;;
33;¿Cómo se dice Hacer?;1;;;;;;;;;
34;¿Cómo se dice Dibujar?;1;;;;;;;;;
35;¿Cómo se dice Soñar?;1;;;;;;;;;
36;¿Cómo se dice Beber?;1;;;;;;;;;
37;¿Cómo se dice Conducir?;1;;;;;;;;;
38;¿Cómo se dice Comer?;1;;;;;;;;;
39;¿Cómo se dice Caer?;1;;;;;;;;;
40;¿Cómo se dice Alimentar?;1;;;;;;;;;
41;¿Cómo se dice Sentir?;1;;;;;;;;;
42;¿Cómo se dice Luchar?;1;;;;;;;;;
43;¿Cómo se dice Encontrar?;1;;;;;;;;;
44;¿Cómo se dice Huir?;1;;;;;;;;;
45;¿Cómo se dice Volar?;1;;;;;;;;;
46;¿Cómo se dice Prohibir?;1;;;;;;;;;
47;¿Cómo se dice Olvidar?;1;;;;;;;;;
48;¿Cómo se dice Perdonar?;1;;;;;;;;;
49;¿Cómo se dice Helar?;1;;;;;;;;;
50;¿Cómo se dice Obtener?;1;;;;;;;;;
51;¿Cómo se dice Dar?;1;;;;;;;;;
52;¿Cómo se dice Ir?;1;;;;;;;;;
53;¿Cómo se dice Crecer?;1;;;;;;;;;
54;¿Cómo se dice Moler?;1;;;;;;;;;
55;¿Cómo se dice Colgar?;1;;;;;;;;;
56;¿Cómo se dice Haber o Tener?;1;;;;;;;;;
57;¿Cómo se dice Oir?;1;;;;;;;;;
58;¿Cómo se dice Ocultar?;1;;;;;;;;;
59;¿Cómo se dice Golpear?;1;;;;;;;;;
60;¿Cómo se dice Agarrar Celebrar?;1;;;;;;;;;
61;¿Cómo se dice Herir?;1;;;;;;;;;
62;¿Cómo se dice Conservar?;1;;;;;;;;;
63;¿Cómo se dice Saber Conocer?;1;;;;;;;;;
64;¿Cómo se dice Arrodillarse?;1;;;;;;;;;
65;¿Cómo se dice Hacer punto?;1;;;;;;;;;
66;¿Cómo se dice Poner?;1;;;;;;;;;
67;¿Cómo se dice Conducir?;1;;;;;;;;;
68;¿Cómo se dice Apoyarse?;1;;;;;;;;;
69;¿Cómo se dice Brincar?;1;;;;;;;;;
70;¿Cómo se dice Aprender?;1;;;;;;;;;
71;¿Cómo se dice Dejar?;1;;;;;;;;;
72;¿Cómo se dice Prestar?;1;;;;;;;;;
73;¿Cómo se dice Permitir?;1;;;;;;;;;
74;¿Cómo se dice Echarse?;1;;;;;;;;;
75;¿Cómo se dice Encender?;1;;;;;;;;;
76;¿Cómo se dice Perder?;1;;;;;;;;;
77;¿Cómo se dice Hacer?;1;;;;;;;;;
78;¿Cómo se dice Significar?;1;;;;;;;;;
79;¿Cómo se dice Encontrar?;1;;;;;;;;;
80;¿Cómo se dice Equivocar?;1;;;;;;;;;
81;¿Cómo se dice Vencer?;1;;;;;;;;;
82;¿Cómo se dice Pagar?;1;;;;;;;;;
83;¿Cómo se dice Poner?;1;;;;;;;;;
84;¿Cómo se dice Leer?;1;;;;;;;;;
85;¿Cómo se dice Montar?;1;;;;;;;;;
86;¿Cómo se dice Llamar?;1;;;;;;;;;
87;¿Cómo se dice Levantarse?;1;;;;;;;;;
88;¿Cómo se dice Correr?;1;;;;;;;;;
89;¿Cómo se dice Decir?;1;;;;;;;;;
90;¿Cómo se dice Ver?;1;;;;;;;;;
91;¿Cómo se dice Buscar?;1;;;;;;;;;
92;¿Cómo se dice Vender?;1;;;;;;;;;
93;¿Cómo se dice Enviar?;1;;;;;;;;;
94;¿Cómo se dice Poner(se)?;1;;;;;;;;;
95;¿Cómo se dice Coser?;1;;;;;;;;;
96;¿Cómo se dice Sacudir?;1;;;;;;;;;
97;¿Cómo se dice Esquilar?;1;;;;;;;;;
98;¿Cómo se dice Brillar?;1;;;;;;;;;
99;¿Cómo se dice Disparar?;1;;;;;;;;;
100;¿Cómo se dice Mostrar?;1;;;;;;;;;
101;¿Cómo se dice Encogerse?;1;;;;;;;;;
102;¿Cómo se dice Cerrar?;1;;;;;;;;;
103;¿Cómo se dice Cantar?;1;;;;;;;;;
104;¿Cómo se dice Hundir?;1;;;;;;;;;
105;¿Cómo se dice Sentarse?;1;;;;;;;;;
106;¿Cómo se dice Dormir?;1;;;;;;;;;
107;¿Cómo se dice Resbalar?;1;;;;;;;;;
108;¿Cómo se dice Oler?;1;;;;;;;;;
109;¿Cómo se dice Sembrar?;1;;;;;;;;;
110;¿Cómo se dice Hablar?;1;;;;;;;;;
111;¿Cómo se dice Acelerar?;1;;;;;;;;;
112;¿Cómo se dice Deletrear?;1;;;;;;;;;
113;¿Cómo se dice Gastar?;1;;;;;;;;;
114;¿Cómo se dice Derramar?;1;;;;;;;;;
115;¿Cómo se dice Hilar?;1;;;;;;;;;
116;¿Cómo se dice Escupir?;1;;;;;;;;;
117;¿Cómo se dice Hender / partir / rajar?;1;;;;;;;;;
118;¿Cómo se dice Estropear?;1;;;;;;;;;
119;¿Cómo se dice Extender?;1;;;;;;;;;
120;¿Cómo se dice Saltar?;1;;;;;;;;;
121;¿Cómo se dice Estar en pie?;1;;;;;;;;;
122;¿Cómo se dice Robar?;1;;;;;;;;;
123;¿Cómo se dice Pegar Engomar?;1;;;;;;;;;
124;¿Cómo se dice Picar?;1;;;;;;;;;
125;¿Cómo se dice Apestar?;1;;;;;;;;;
126;¿Cómo se dice Dar zancadas?;1;;;;;;;;;
127;¿Cómo se dice Golpear?;1;;;;;;;;;
128;¿Cómo se dice Jurar?;1;;;;;;;;;
129;¿Cómo se dice Sudar?;1;;;;;;;;;
130;¿Cómo se dice Barrer?;1;;;;;;;;;
131;¿Cómo se dice Hinchar?;1;;;;;;;;;
132;¿Cómo se dice Nadar?;1;;;;;;;;;
133;¿Cómo se dice Columpiarse?;1;;;;;;;;;
134;¿Cómo se dice Coger?;1;;;;;;;;;
135;¿Cómo se dice Enseñar?;1;;;;;;;;;
136;¿Cómo se dice Rasgar?;1;;;;;;;;;
137;¿Cómo se dice Decir?;1;;;;;;;;;
138;¿Cómo se dice Pensar?;1;;;;;;;;;
139;¿Cómo se dice Arrojar Tirar?;1;;;;;;;;;
140;¿Cómo se dice Introducir?;1;;;;;;;;;
141;¿Cómo se dice Pisar, hollar?;1;;;;;;;;;
142;¿Cómo se dice Entender?;1;;;;;;;;;
143;¿Cómo se dice Sufrir?;1;;;;;;;;;
144;¿Cómo se dice Emprender?;1;;;;;;;;;
145;¿Cómo se dice Despertarse?;1;;;;;;;;;
146;¿Cómo se dice Llevar puesto?;1;;;;;;;;;
147;¿Cómo se dice Tejer?;1;;;;;;;;;
148;¿Cómo se dice Llorar?;1;;;;;;;;;
149;¿Cómo se dice Mojar?;1;;;;;;;;;
150;¿Cómo se dice Ganar?;1;;;;;;;;;
151;¿Cómo se dice Enrollar?;1;;;;;;;;;
152;¿Cómo se dice Retirarse?;1;;;;;;;;;
153;¿Cómo se dice Torcer?;1;;;;;;;;;
154;¿Cómo se dice Escribir?;1;;;;;;;;;
